code,name,symbol,quantity
10,group,,mechanics
11,outfit,,mechanics
13,ration,,mechanics
14,shot,,mechanics
15,"stick, military",,mechanics
20,twenty foot container,,mechanics
21,forty foot container,,mechanics
22,decilitre per gram,dl/g,space & time
23,gram per cubic centimetre,g/cm³,space & time
24,theoretical pound,,mechanics
25,gram per square centimetre,g/cm²,space & time
27,theoretical ton,,mechanics
28,kilogram per square metre,kg/m²,space & time
33,kilopascal square metre per gram,kPa·m²/g,space & time
34,kilopascal per millimetre,kPa/mm,space & time
35,millilitre per square centimetre second,ml/(cm²·s),space & time
37,ounce per square foot,oz/ft²,periodic & related phenomena
38,"ounce per square foot per 0,01inch",oz/(ft²/cin),mechanics
40,millilitre per second,ml/s,space & time
41,millilitre per minute,ml/min,space & time
56,sitas,,mechanics
57,mesh,,mechanics
58,net kilogram,,mechanics
59,part per million,ppm,mechanics
60,percent weight,,mechanics
61,part per billion (US),ppb,mechanics
74,millipascal,mPa,space & time
77,milli-inch,mil,periodic & related phenomena
80,pound per square inch absolute,lb/in²,periodic & related phenomena
81,henry,H,space & time
85,foot pound-force,ft·lbf,periodic & related phenomena
87,pound per cubic foot,lb/ft³,periodic & related phenomena
89,poise,P,periodic & related phenomena
91,stokes,St,periodic & related phenomena
1I,fixed rate,,mechanics
2A,radian per second,rad/s,space & time
2B,radian per second squared,rad/s²,space & time
2C,roentgen,R,periodic & related phenomena
2G,volt AC,V,mechanics
2H,volt DC,V,mechanics
2I,British thermal unit (international table) per hour,BtuIT/h,periodic & related phenomena
2J,cubic centimetre per second,cm³/s,space & time
2K,cubic foot per hour,ft³/h,periodic & related phenomena
2L,cubic foot per minute,ft³/min,periodic & related phenomena
2M,centimetre per second,cm/s,space & time
2N,decibel,dB,space & time
2P,kilobyte,kbyte,mechanics
2Q,kilobecquerel,kBq,space & time
2R,kilocurie,kCi,periodic & related phenomena
2U,megagram,Mg,space & time
2X,metre per minute,m/min,space & time
2Y,milliroentgen,mR,periodic & related phenomena
2Z,millivolt,mV,space & time
3B,megajoule,MJ,space & time
3C,manmonth,,mechanics
4C,centistokes,cSt,periodic & related phenomena
4G,microlitre,µl,space & time
4H,micrometre (micron),µm,space & time
4K,milliampere,mA,space & time
4L,megabyte,Mbyte,mechanics
4M,milligram per hour,mg/h,space & time
4N,megabecquerel,MBq,space & time
4O,microfarad,µF,space & time
4P,newton per metre,N/m,space & time
4Q,ounce inch,oz·in,periodic & related phenomena
4R,ounce foot,oz·ft,periodic & related phenomena
4T,picofarad,pF,space & time
4U,pound per hour,lb/h,periodic & related phenomena
4W,ton (US) per hour,ton (US) /h,periodic & related phenomena
4X,kilolitre per hour,kl/h,space & time
5A,barrel (US) per minute,barrel (US)/min,periodic & related phenomena
5B,batch,,mechanics
5E,MMSCF/day,,mechanics
5J,hydraulic horse power,,mechanics
A10,ampere square metre per joule second,A·m²/(J·s),space & time
A11,angstrom,Å,space & time
A12,astronomical unit,ua,space & time
A13,attojoule,aJ,space & time
A14,barn,b,space & time
A15,barn per electronvolt,b/eV,space & time
A16,barn per steradian electronvolt,b/(sr·eV),space & time
A17,barn per steradian,b/sr,space & time
A18,becquerel per kilogram,Bq/kg,space & time
A19,becquerel per cubic metre,Bq/m³,space & time
A2,ampere per centimetre,A/cm,space & time
A20,British thermal unit (international table) per second square foot degree Rankine,BtuIT/(s·ft²·°R),periodic & related phenomena
A21,British thermal unit (international table) per pound degree Rankine,BtuIT/(lb·°R),periodic & related phenomena
A22,British thermal unit (international table) per second foot degree Rankine,BtuIT/(s·ft·°R),periodic & related phenomena
A23,British thermal unit (international table) per hour square foot degree Rankine,BtuIT/(h·ft²·°R),periodic & related phenomena
A24,candela per square metre,cd/m²,space & time
A26,coulomb metre,C·m,space & time
A27,coulomb metre squared per volt,C·m²/V,space & time
A28,coulomb per cubic centimetre,C/cm³,space & time
A29,coulomb per cubic metre,C/m³,space & time
A3,ampere per millimetre,A/mm,space & time
A30,coulomb per cubic millimetre,C/mm³,space & time
A31,coulomb per kilogram second,C/(kg·s),space & time
A32,coulomb per mole,C/mol,space & time
A33,coulomb per square centimetre,C/cm²,space & time
A34,coulomb per square metre,C/m²,space & time
A35,coulomb per square millimetre,C/mm²,space & time
A36,cubic centimetre per mole,cm³/mol,space & time
A37,cubic decimetre per mole,dm³/mol,space & time
A38,cubic metre per coulomb,m³/C,space & time
A39,cubic metre per kilogram,m³/kg,space & time
A4,ampere per square centimetre,A/cm²,space & time
A40,cubic metre per mole,m³/mol,space & time
A41,ampere per square metre,A/m²,space & time
A42,curie per kilogram,Ci/kg,periodic & related phenomena
A43,deadweight tonnage,dwt,mechanics
A44,decalitre,dal,space & time
A45,decametre,dam,space & time
A47,decitex,dtex (g/10km),mechanics
A48,degree Rankine,°R,periodic & related phenomena
A49,denier,den (g/9 km),mechanics
A5,ampere square metre,A·m²,space & time
A53,electronvolt,eV,space & time
A54,electronvolt per metre,eV/m,space & time
A55,electronvolt square metre,eV·m²,space & time
A56,electronvolt square metre per kilogram,eV·m²/kg,space & time
A59,8-part cloud cover,,mechanics
A6,ampere per square metre kelvin squared,A/(m²·K²),space & time
A68,exajoule,EJ,space & time
A69,farad per metre,F/m,space & time
A7,ampere per square millimetre,A/mm²,space & time
A70,femtojoule,fJ,space & time
A71,femtometre,fm,space & time
A73,foot per second squared,ft/s²,periodic & related phenomena
A74,foot pound-force per second,ft·lbf/s,periodic & related phenomena
A75,freight ton,,mechanics
A76,gal,Gal,space & time
A8,ampere second,A·s,space & time
A84,gigacoulomb per cubic metre,GC/m³,space & time
A85,gigaelectronvolt,GeV,space & time
A86,gigahertz,GHz,space & time
A87,gigaohm,GΩ,space & time
A88,gigaohm metre,GΩ·m,space & time
A89,gigapascal,GPa,space & time
A9,rate,,mechanics
A90,gigawatt,GW,space & time
A91,gon,gon,periodic & related phenomena
A93,gram per cubic metre,g/m³,space & time
A94,gram per mole,g/mol,space & time
A95,gray,Gy,space & time
A96,gray per second,Gy/s,space & time
A97,hectopascal,hPa,space & time
A98,henry per metre,H/m,space & time
A99,bit,bit,mechanics
AA,ball,,mechanics
AB,bulk pack,pk,mechanics
ACR,acre,acre,periodic & related phenomena
ACT,activity,,mechanics
AD,byte,byte,mechanics
AE,ampere per metre,A/m,space & time
AH,additional minute,,mechanics
AI,average minute per call,,mechanics
AK,fathom,fth,periodic & related phenomena
AL,access line,,mechanics
AMH,ampere hour,A·h,space & time
AMP,ampere,A,space & time
ANN,year,y,periodic & related phenomena
APZ,troy ounce or apothecary ounce,tr oz,periodic & related phenomena
AQ,anti-hemophilic factor (AHF) unit,,mechanics
AS,assortment,,mechanics
ASM,alcoholic strength by mass,,mechanics
ASU,alcoholic strength by volume,,mechanics
ATM,standard atmosphere,atm,space & time
AWG,american wire gauge,AWG,periodic & related phenomena
AY,assembly,,mechanics
AZ,British thermal unit (international table) per pound,BtuIT/lb,periodic & related phenomena
B1,barrel (US) per day,barrel (US)/d,mechanics
B10,bit per second,bit/s,mechanics
B11,joule per kilogram kelvin,J/(kg·K),space & time
B12,joule per metre,J/m,space & time
B13,joule per square metre,J/m²,space & time
B14,joule per metre to the fourth power,J/m⁴,space & time
B15,joule per mole,J/mol,space & time
B16,joule per mole kelvin,J/(mol·K),space & time
B17,credit,,mechanics
B18,joule second,J·s,space & time
B19,digit,,mechanics
B20,joule square metre per kilogram,J·m²/kg,space & time
