cpse,sector,local_code,description,material_family,manufacturer,manufacturer_part_no,uom
ONGC,Oil & Gas,MM-BRG-6205ZZ,BALL BEARING DEEP GROOVE 6205-2Z 25X52X15MM,Bearing,SKF,6205-2Z,NOS
IOCL,Oil & Gas,1000023456,"BEARING,BALL,DEEP GROOVE,SGL ROW,6205 2Z,BORE 25MM",Bearing,SKF,6205-2Z,EA
NTPC,Power,10-25-4471,BEARING BALL 6205 ZZ DEEP GROOVE 25/52/15,Bearing,SKF,,No.
BHEL,Heavy Engineering,BRG/6205/ZZ,Deep groove ball bearing 6205 2Z shielded 25x52x15 mm,Bearing,SKF,6205 2Z,NO
SAIL,Steel,SP-BRG-000891,BALL BRG 6205-ZZ DGBB 25MM BORE,Bearing,FAG,6205.2ZR,Nos
CIL,Mining,BRG6205ZZ,DGBB 6205 2Z 25 X 52 X 15,Bearing,NBC,6205ZZ,PCS
BHEL,Heavy Engineering,BRG-22217EK,SPHERICAL ROLLER BEARING 22217 EK 85X150X36,Bearing,SKF,22217 EK,NOS
NTPC,Power,10-25-7788,BEARING SPHERICAL ROLLER 22217EK TAPER BORE 85MM,Bearing,SKF,22217EK,EA
SAIL,Steel,SP-BRG-002210,SRB 22217 EK C3 85 BORE,Bearing,FAG,22217-E1-K,No.
RINL,Steel,BRG022217,SPH ROLLER BRG 22217EK 85X150X36MM,Bearing,SKF,22217EK,Nos
ONGC,Oil & Gas,MM-BRG-6309C3,BALL BEARING 6309 C3 DEEP GROOVE 45X100X25,Bearing,FAG,6309.C3,NOS
GAIL,Oil & Gas,MAT-0045129,BEARING BALL 6309-C3 45MM BORE OPEN,Bearing,SKF,6309/C3,EA
NTPC,Power,10-25-4490,BRG 6309 C3 DGBB 45 X 100 X 25,Bearing,SKF,6309 C3,No.
IOCL,Oil & Gas,1000088231,BOLT HEX HD M16X60 GR8.8 HDG IS1364,Fastener,,,NOS
ONGC,Oil & Gas,MM-FAS-M16X60,HEX BOLT M16 X 60MM PROP CLASS 8.8 HOT DIP GALV,Fastener,,,EA
NTPC,Power,11-40-2231,"BOLT,HEXAGON HEAD,M16X60,8.8,GALVANISED",Fastener,,,No.
POWERGRID,Power,PG-BOLT-1660,HEX HEAD BOLT M16X60 8.8 ISO4014 GALVANIZED,Fastener,,,Nos
BHEL,Heavy Engineering,FAS-HB-1660-88,Bolt hexagon head M16x60 class 8.8 hot-dip galvanised,Fastener,,,NO
BHEL,Heavy Engineering,FAS-STUD-B7-20,STUD BOLT M20X150 ASTM A193 GR B7 + 2 NUTS A194 2H,Fastener,,A193-B7,NOS
ONGC,Oil & Gas,MM-FAS-SB20150,STUD BOLT 3/4 IN X 150 B7 W/2 HEAVY HEX NUTS 2H,Fastener,,A193 B7,SET
GAIL,Oil & Gas,MAT-0071820,STUDBOLT M20 X 150MM A193-B7 C/W NUTS A194-2H,Fastener,,,ST
IOCL,Oil & Gas,1000090114,"STUD,BOLT,M20X150,A193 B7,WITH 2 NUT 2H",Fastener,,,EA
NTPC,Power,11-40-3390,NUT HEX M16 CL8 GALV IS1363,Fastener,,,NOS
SAIL,Steel,SP-FAS-006612,HEXAGON NUT M16 CLASS 8 HDG,Fastener,,,EA
CIL,Mining,NUTM16,HEX NUT M16 GALVANISED,Fastener,,,PCS
POWERGRID,Power,PG-CBL-240-11,POWER CABLE 11KV 3C X 240 SQMM AL XLPE ARMOURED IS7098,Cable,,,MTR
NTPC,Power,12-60-1180,"CABLE,POWER,11 KV(E),3CX240 SQ MM,ALUMINIUM,XLPE,ARMD",Cable,,,M
NHPC,Power,NH-PWR-24011,11 KV 3 CORE 240 SQMM AL CONDUCTOR XLPE ARMOURED CABLE,Cable,Polycab,,RMT
SAIL,Steel,SP-CBL-001120,HT CABLE 11KV 3CX240SQMM ALU XLPE SWA,Cable,KEI,,Mtrs
BHEL,Heavy Engineering,CBL-HT-3C240,Cable 11kV grade 3 core 240 sq mm aluminium XLPE armoured,Cable,Universal,,Metre
NTPC,Power,12-60-0450,CABLE CONTROL 1.1KV 7C X 2.5 SQMM CU PVC ARMOURED IS1554,Cable,,,MTR
ONGC,Oil & Gas,MM-CBL-CTRL725,CONTROL CABLE 7 CORE 2.5 SQMM COPPER PVC ARMD 1100V,Cable,,,M
IOCL,Oil & Gas,1000100233,"CABLE,CONTROL,7C X 2.5SQMM,CU,PVC,ARMOURED,1.1KV",Cable,,,Mtr
GAIL,Oil & Gas,MAT-0080231,CTRL CABLE 1.1 KV 7CX2.5 SQ.MM CU ARMOURED,Cable,Polycab,,RM
IOCL,Oil & Gas,1000100777,"CABLE,POWER,1.1KV,3.5C X 240SQMM,AL,XLPE,ARMOURED",Cable,,,MTR
BPCL,Oil & Gas,BP-CBL-35C240,LT POWER CABLE 1100V 3.5 CORE 240 SQMM ALUMINIUM XLPE ARMD,Cable,,,M
HPCL,Oil & Gas,HP-CAB-240LT,POWER CABLE LT 3.5CX240 SQMM AL XLPE ARMOURED 1.1 KV,Cable,KEI,,Mtrs
ONGC,Oil & Gas,MM-VLV-GT50-150,GATE VALVE 50NB CL150 RF CS A216 WCB API600 BOLTED BONNET,Valve,,,NOS
IOCL,Oil & Gas,1000045612,"VALVE,GATE,2 IN,150#,RF,CARBON STEEL WCB,API 600,OS&Y",Valve,,,EA
GAIL,Oil & Gas,MAT-0033410,GATE VALVE 2 INCH 150# FLANGED CS BODY API 600,Valve,L&T Valves,,No.
BPCL,Oil & Gas,BP-GV-50-150,GT VLV 50MM 150 CLASS RF CS BODY BOLTED BONNET,Valve,,,Nos
HPCL,Oil & Gas,HP-VLV-GT50,Gate valve 50 NB Class 150 RF A216 WCB rising stem,Valve,Kirloskar,,NO
ONGC,Oil & Gas,MM-VLV-GB25-800,GLOBE VALVE 25NB CL800 SW FORGED STEEL A105 API602,Valve,,,NOS
GAIL,Oil & Gas,MAT-0033980,GLOBE VALVE 1 IN 800# SOCKET WELD FORGED A105 API 602,Valve,BDK,,EA
IOCL,Oil & Gas,1000045990,"VALVE,GLOBE,1IN,800#,SW,FORGED STEEL A105",Valve,,,No.
HPCL,Oil & Gas,HP-GV-50-BRZ,GATE VALVE 50NB CL150 BRONZE BODY IS778 SCREWED,Valve,Zoloto,,NOS
BPCL,Oil & Gas,BP-GV-50-BR,BRONZE GATE VALVE 50MM 150 CLASS SCREWED ENDS IS 778,Valve,Leader,,EA
ONGC,Oil & Gas,MM-PIPE-100S40,PIPE SEAMLESS 100NB SCH40 ASTM A106 GR B BE,Pipe,,,MTR
GAIL,Oil & Gas,MAT-0012230,"PIPE,CS,SMLS,4 IN,SCH 40,A106 GR B,BEVEL END",Pipe,,,M
IOCL,Oil & Gas,1000021190,PIPE SEAMLESS CARBON STEEL 4IN SCH40 A106-B,Pipe,,,Mtr
BPCL,Oil & Gas,BP-PIPE-4-40,SEAMLESS PIPE 4 INCH SCH 40 ASTM A106 GRADE B,Pipe,Jindal,,RMT
NTPC,Power,13-45-0091,PIPE GI 25NB MEDIUM CLASS IS1239 SCREWED,Pipe,,,MTR
SAIL,Steel,SP-PIPE-GI25,GI PIPE 25 MM NB MEDIUM GRADE IS 1239 PART 1,Pipe,Tata,,M
CIL,Mining,PIPEGI25,G.I. PIPE 25NB 'B' MEDIUM CLASS SCREWED & SOCKETED,Pipe,APL Apollo,,Mtrs
BHEL,Heavy Engineering,MOT-15KW-4P-IE3,MOTOR 3PH 15KW 4POLE 415V 50HZ IE3 B3 IP55 FOOT,Motor,Siemens,1LE7,NOS
NTPC,Power,14-26-0330,"MOTOR,INDUCTION,3 PHASE,15 KW,1500 RPM,415V,IE3,FOOT MTG",Motor,ABB,M2BAX160,EA
SAIL,Steel,SP-MOT-015-4,AC MOTOR SQ CAGE 15 KW 4 POLE 415 V IE3 B3,Motor,CG,,No.
RINL,Steel,MOT01504,INDUCTION MOTOR 15KW 4P 415V IE3 EFF FOOT MOUNTED,Motor,Kirloskar,,Nos
NTPC,Power,14-26-0355,MOTOR 3PH 5.5KW 4POLE 415V IE3 B3 IP55,Motor,ABB,M2BAX132,NOS
NHPC,Power,NH-MOT-055,AC INDUCTION MOTOR 5.5 KW 1500RPM 415V FOOT IE3,Motor,Siemens,1LE7-132,EA
BHEL,Heavy Engineering,MOT-5R5KW-4P,Motor squirrel cage 5.5 kW 4 pole 415 V 50 Hz IE3,Motor,CG,,NO
SAIL,Steel,PLT-2062-10,MS PLATE 10MM IS2062 E250 BR 2500X1250,Plate,SAIL,,MT
RINL,Steel,PLT062E250-10,STEEL PLATE 10 MM THK IS 2062 GRADE E250BR,Plate,RINL,,MT
BHEL,Heavy Engineering,PLT-MS-10,Mild steel plate 10 mm IS 2062 E250 BR,Plate,,,Kg
BEML,Heavy Engineering,MS-PLATE-10MM,M.S. PLATE 10 MM THICK IS2062 E 250 BR,Plate,,,Tonne
BHEL,Heavy Engineering,PLT-SA516-12,BOILER QUALITY PLATE 12MM SA516 GR70 NORMALISED,Plate,,,MT
NTPC,Power,13-95-0012,"PLATE,STEEL,BOILER QUALITY,12 MM,SA 516 GR 70",Plate,,,MT
ONGC,Oil & Gas,MM-GSK-SW150,SPIRAL WOUND GASKET 150NB CL150 SS316+GRAPHITE CS OUTER,Gasket,,,NOS
IOCL,Oil & Gas,1000055120,"GASKET,SPIRAL WOUND,6IN,150#,SS316/GRAPHITE,CS CR",Gasket,Flexitallic,,EA
GAIL,Oil & Gas,MAT-0061190,SW GASKET 6 INCH 150# SS316 GRAPHITE FILLED CS OUTER RING,Gasket,Champion,,No.
HPCL,Oil & Gas,HP-GSK-6-150,SPIRAL WOUND GASKET 6IN 150 CLASS 316SS GRAPHITE,Gasket,,,Nos
NTPC,Power,15-91-0021,GREASE LITHIUM COMPLEX EP2 MULTIPURPOSE 18KG,Grease,SKF,LGMT 2,KG
SAIL,Steel,SP-GRS-EP2,MULTIPURPOSE GREASE LITHIUM COMPLEX NLGI 2 EP,Grease,Servo,GEM RR 3,KG
CIL,Mining,GREASEEP2,LITHIUM COMPLEX GREASE EP 2 GRADE,Grease,Balmerol,,Kgs
BHEL,Heavy Engineering,GRS-LICX-EP2,Grease lithium complex EP NLGI grade 2,Grease,SKF,LGMT 2,Kilogram
ONGC,Oil & Gas,MM-INST-PG16,PRESSURE GAUGE 100MM DIAL 0-16 BAR SS316 BOTTOM 1/2NPT,Instrument,WIKA,232.50,NOS
GAIL,Oil & Gas,MAT-0091120,PRESS GAUGE DIAL 4IN 0 TO 16 KG/CM2 SS BOURDON LM,Instrument,WIKA,232.50,EA
IOCL,Oil & Gas,1000110455,"GAUGE,PRESSURE,0-16BAR,100MM,SS316,LOWER MOUNT",Instrument,H Guru,,No.
ONGC,Oil & Gas,MM-INST-PT3051,PRESSURE TRANSMITTER SMART 4-20MA HART 0-10BAR SS316,Instrument,Rosemount,3051TG,NOS
GAIL,Oil & Gas,MAT-0091560,PRESSURE TRANSMITTER 3051 SERIES HART 4-20MA GP,Instrument,Rosemount,3051,EA
NTPC,Power,41-66-0033,"TRANSMITTER,PRESSURE,SMART,4-20 MA/HART,SS316 WETTED",Instrument,Yokogawa,EJA530,No.
BHEL,Heavy Engineering,BRG-NU320ECP,CYLINDRICAL ROLLER BEARING NU320 ECP 100X215X47,Bearing,SKF,NU 320 ECP,NOS
NTPC,Power,10-25-8890,BEARING CYL ROLLER NU320 ECP 100MM BORE,Bearing,FAG,NU320-E-XL-M1,EA
SAIL,Steel,SP-BRG-003320,CRB NU 320 ECP 100 X 215 X 47,Bearing,SKF,NU320ECP,No.
ONGC,Oil & Gas,MM-BRG-6004RS,BALL BEARING 6004 2RS1 DEEP GROOVE 20X42X12 SEALED,Bearing,SKF,6004-2RS1,NOS
IOCL,Oil & Gas,1000024991,"BEARING,BALL,6004 2RS,SEALED,20MM BORE",Bearing,SKF,6004-2RSH,EA
CIL,Mining,BRG60042RS,DGBB 6004 2RS 20X42X12 RUBBER SEALED,Bearing,NBC,6004RS,PCS
NTPC,Power,31-61-0210,POWER CONTACTOR 3POLE 32A AC3 415V COIL 240VAC,,Siemens,3RT2027,NOS
SAIL,Steel,SP-ELC-CON32,CONTACTOR TP 32 AMP AC-3 COIL 240 V AC,,L&T,MNX32,EA
BHEL,Heavy Engineering,ELC-CONT-32A,Contactor 3 pole 32A AC3 duty 415V 240VAC coil,,ABB,AF30,NO
POWERGRID,Power,PG-MCCB-100,MCCB 3POLE 100A 36KA 415V THERMAL MAGNETIC ADJUSTABLE,,Schneider,NSX100F,NOS
NTPC,Power,31-61-0455,"MCCB,TP,100A,36 KA,415V,ADJUSTABLE",,L&T,DN2,EA
NHPC,Power,NH-MCCB-100,MOULDED CASE CIRCUIT BREAKER 100 AMP 3P 36KA,,ABB,XT2N,No.
ONGC,Oil & Gas,MM-ELC-GLAND32,CABLE GLAND DOUBLE COMPRESSION 32MM BRASS NICKEL WEATHERPROOF,,,,NOS
GAIL,Oil & Gas,MAT-0083320,DOUBLE COMPRESSION CABLE GLAND 32 MM BRASS WITH EARTH TAG,,Comet,,EA
BPCL,Oil & Gas,BP-GLAND-32,CABLE GLAND BRASS DOUBLE COMPR 32MM CW LOCKNUT & WASHER,,Dowells,,Nos
NTPC,Power,11-40-4120,SPRING WASHER M16 SPRING STEEL IS3063 GALV,Fastener,,,NOS
SAIL,Steel,SP-FAS-SW16,SPRING WASHER 16 MM HDG IS 3063 TYPE B,Fastener,,,EA
CIL,Mining,SW16,SPRING WASHER M16 GALVANISED SINGLE COIL,Fastener,,,PCS
